Incident Type;Specific Hazards;Hazard Subcategory Paths;Origins;Date
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;15-7-2025
alert;salmonella bareilly;pathogen > pathogenic bacteria > salmonella > salmonella bareilly;spain;9-7-2025
border rejection;aflatoxin b1, aflatoxin b2, aflatoxin g1;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g1;united states;8-7-2025
border rejection;aflatoxin b1, aflatoxin b2, aflatoxin g1;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g1;united states;8-7-2025
alert;eggs and products thereof;eggs and products thereof;germany;4-7-2025
alert;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;italy;26-6-2025
alert;improper storage;poor or insufficient controls > improper conditions > improper storage;japan;26-6-2025
border rejection;aflatoxin b1, aflatoxin b2, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;united states;17-6-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;30-5-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;30-5-2025
alert;aflatoxin, too high content of cyanide, aflatoxin b1;mycotoxin > aflatoxin, composition > too high content of cyanide, mycotoxin > aflatoxin > aflatoxin b1;spain;19-5-2025
border rejection;aflatoxin b1, aflatoxin b2, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;united states;7-5-2025
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;29-4-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;24-4-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;11-4-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;4-4-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;26-3-2025
border rejection;aflatoxin b1, aflatoxin;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin;united states;11-3-2025
alert;bacillus cereus;pathogen > pathogenic bacteria > bacillus spp. > bacillus cereus;bulgaria;10-3-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;10-3-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;27-2-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;27-2-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;27-2-2025
border rejection;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;united states;26-2-2025
border rejection;aflatoxin b1, aflatoxin b2, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;united states;10-2-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;31-1-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;31-1-2025
alert;cyanuric acid;industrial contaminants > cyanuric acid;turkey;23-1-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;16-1-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;16-1-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;9-1-2025
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;9-1-2025
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;united states;9-1-2025
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;united states;9-1-2025
alert;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;spain;3-1-2025
alert;too high content of cyanide;composition > too high content of cyanide;canada;11-12-2024
alert;hazelnut;nuts > hazelnut;spain, belgium;18-10-2024
border rejection;aflatoxin b1, aflatoxin b2, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g2;united states;16-10-2024
alert;hazelnut;nuts > hazelnut;spain;14-10-2024
alert;dichlorvos;pesticides > organophosphate > dichlorvos;united states;18-9-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;10-9-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;15-8-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;15-8-2024
border rejection;aflatoxin b1, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;united states;15-8-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;7-8-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;22-7-2024
border rejection;aflatoxin b1, aflatoxin g1;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin g1;united states;22-7-2024
border rejection;aflatoxin b1, aflatoxin g1;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin g1;united states;22-7-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;22-7-2024
border rejection;aflatoxin b1, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;united states;17-7-2024
border rejection;aflatoxin b1, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;united states;17-7-2024
alert;moulds, absence of expiry date;non-pathogenic microorganisms > moulds, labelling/misdescription > absence of expiry date;spain;9-7-2024
border rejection;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;united states;1-7-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;24-6-2024
border rejection;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;united states;13-6-2024
border rejection;aflatoxin b1, aflatoxin b2, aflatoxin g1;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g1;united states;5-6-2024
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;4-6-2024
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;31-5-2024
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;united states;30-5-2024
border rejection;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;united states;29-5-2024
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;27-5-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;17-5-2024
border rejection;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;united states;16-5-2024
border rejection;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;united states;16-5-2024
border rejection;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;united states;16-5-2024
border rejection;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;united states;16-5-2024
border rejection;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;united states;16-5-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;8-5-2024
alert;peanuts and products thereof, nuts, soybeans and products thereof, milk and products thereof, sesame seeds and products thereof, cereals containing gluten and products thereof;peanuts and products thereof, nuts, soybeans and products thereof, milk and products thereof, sesame seeds and products thereof, cereals containing gluten and products thereof;united states;8-5-2024
alert;lack of allergy statement;labelling/misdescription > insufficient labelling/documentation > lack of allergy statement;france;7-5-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;25-4-2024
border rejection;aflatoxin b1, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;united states;23-4-2024
alert;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;spain, poland;18-4-2024
alert;aflatoxin b1, aflatoxin;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin;united states;4-4-2024
alert;almond;nuts > almond;united states;2-4-2024
alert;almond;nuts > almond;united states;2-4-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;29-3-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;25-3-2024
alert;salmonella;pathogen > pathogenic bacteria > salmonella;united kingdom;21-3-2024
alert;salmonella;pathogen > pathogenic bacteria > salmonella;united kingdom;21-3-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;15-3-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;15-3-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;15-3-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;13-3-2024
alert;salmonella;pathogen > pathogenic bacteria > salmonella;spain;11-3-2024
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;8-3-2024
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;8-3-2024
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;8-3-2024
alert;salmonella;pathogen > pathogenic bacteria > salmonella;spain;20-2-2024
border rejection;aflatoxin b1, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;united states;15-2-2024
border rejection;aflatoxin b1, aflatoxin b2, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;united states;14-2-2024
border rejection;aflatoxin b1, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;united states;31-1-2024
alert;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;spain;19-1-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;19-1-2024
border rejection;e 202 - potassium sorbate unauthorised;e 202 - potassium sorbate unauthorised;italy;12-1-2024
border rejection;e 202 - potassium sorbate unauthorised;e 202 - potassium sorbate unauthorised;italy;12-1-2024
border rejection;e 202 - potassium sorbate unauthorised;e 202 - potassium sorbate unauthorised;italy;12-1-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;12-1-2024
border rejection;e 202 - potassium sorbate unauthorised;e 202 - potassium sorbate unauthorised;italy;12-1-2024
border rejection;e 202 - potassium sorbate unauthorised;e 202 - potassium sorbate unauthorised;italy;12-1-2024
border rejection;e 202 - potassium sorbate unauthorised;e 202 - potassium sorbate unauthorised;italy;12-1-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;12-1-2024
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;27-12-2023
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;19-12-2023
alert;pest;pest;czech republic;11-12-2023
alert;bad smell / off odor;bad smell / off odor;hungary;8-12-2023
alert;pest;pest;hungary;22-11-2023
alert;pest;pest;hungary;22-11-2023
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;22-11-2023
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;22-11-2023
alert;pest;pest;hungary;22-11-2023
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;17-11-2023
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;15-11-2023
alert;aflatoxin;mycotoxin > aflatoxin;united states;12-10-2023
border rejection;aspergillus moulds;non-pathogenic microorganisms > moulds > aspergillus moulds;united states;6-10-2023
border rejection;aspergillus moulds;non-pathogenic microorganisms > moulds > aspergillus moulds;united states;6-10-2023
border rejection;aspergillus moulds;non-pathogenic microorganisms > moulds > aspergillus moulds;united states;6-10-2023
border rejection;moulds, abnormal smell;non-pathogenic microorganisms > moulds, abnormal smell;united states;29-9-2023
border rejection;aflatoxin b1, aflatoxin b2, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;united states, vietnam;25-9-2023
border rejection;aflatoxin b1, aflatoxin b2, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;united states;25-9-2023
border rejection;aflatoxin, aflatoxin b1, moulds;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1, non-pathogenic microorganisms > moulds;united states;20-9-2023
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;14-9-2023
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;14-9-2023
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;14-9-2023
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;4-9-2023
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;4-9-2023
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;4-9-2023
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;australia;22-8-2023
border rejection;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;australia;3-8-2023
border rejection;piperonyl butoxide;pesticides > piperonyl butoxide;united states;2-8-2023
border rejection;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;united states;28-7-2023
border rejection;aspergillus moulds, parasits;non-pathogenic microorganisms > moulds > aspergillus moulds, pathogen > parasits;united states;26-7-2023
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;12-7-2023
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;12-7-2023
border rejection;parasits;pathogen > parasits;united states;5-7-2023
border rejection;parasits;pathogen > parasits;united states;29-6-2023
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;united states;20-6-2023
border rejection;aflatoxin;mycotoxin > aflatoxin;australia;13-6-2023
alert;hydrocyanic acid;chemical compound (high content) > hydrocyanic acid;france;6-6-2023
alert;insects;insects;denmark;1-6-2023
border rejection;parasits, fungi;pathogen > parasits, non-pathogenic microorganisms > moulds > fungi;united states;25-5-2023
alert;hydrocyanic acid;chemical compound (high content) > hydrocyanic acid;netherlands;24-5-2023
alert;hydrocyanic acid;chemical compound (high content) > hydrocyanic acid;netherlands;24-5-2023
alert;aflatoxin;mycotoxin > aflatoxin;spain;23-5-2023
border rejection;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;australia;22-5-2023
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;19-5-2023
border rejection;aflatoxin b1, aflatoxin b2, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;united states;19-5-2023
alert;hydrocyanic acid;chemical compound (high content) > hydrocyanic acid;france;17-5-2023
border rejection;aflatoxin b1, aflatoxin b2, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;spain;16-5-2023
border rejection;aflatoxin b1, aflatoxin;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin;united states;15-5-2023
border rejection;aflatoxin b1, aflatoxin g1;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin g1;india;8-5-2023
border rejection;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;australia;5-5-2023
border rejection;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;australia;5-5-2023
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;australia;5-5-2023
border rejection;aflatoxin b1, aflatoxin b2, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;united states;20-4-2023
