Incident Type;Specific Hazards;Hazard Subcategory Paths;Origins;Date
alert;salmonella;pathogen > pathogenic bacteria > salmonella;united states;19-8-2014
alert;peanuts and products thereof, insufficient labelling/documentation;peanuts and products thereof, labelling/misdescription > insufficient labelling/documentation;united kingdom;4-8-2014
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-8-2014
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-7-2014
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-7-2014
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-7-2014
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-7-2014
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-6-2014
food;aflatoxin;mycotoxin > aflatoxin;united states;16-5-2014
food;aflatoxin;mycotoxin > aflatoxin;united states;11-4-2014
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-4-2014
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-4-2014
food;excrements of insects, dead insects;contaminated with faeces > excrements of insects, insects > dead insects;united states;19-3-2014
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-3-2014
border rejection;moulds, solidification, abnormal smell, deterioration;non-pathogenic microorganisms > moulds, solidification, abnormal smell, deterioration;united states;1-3-2014
food;aflatoxin;mycotoxin > aflatoxin;united states;27-2-2014
alert;milk and products thereof;milk and products thereof;canada;18-2-2014
food;aflatoxin;mycotoxin > aflatoxin;netherlands, spain;6-2-2014
food;absence of health certificate(s);smuggling > health certificate issues > absence of health certificate(s);united states;28-1-2014
food;aflatoxin;mycotoxin > aflatoxin;australia, netherlands;27-1-2014
food;aflatoxin;mycotoxin > aflatoxin;australia;16-1-2014
food;aflatoxin;mycotoxin > aflatoxin;australia;8-1-2014
food;insects larvae;insects > insects larvae;turkey;27-12-2013
food;absence of certified analytical report;other not classified fraud hazards > absence of certified analytical report;united states;16-12-2013
food;suspicion of fraudulent health certificate(s);smuggling > health certificate issues > suspicion of fraudulent health certificate(s);turkey, united states;4-12-2013
food;absence of health certificate(s);smuggling > health certificate issues > absence of health certificate(s);united states;18-11-2013
food;aflatoxin;mycotoxin > aflatoxin;australia;11-11-2013
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-11-2013
border rejection;aflatoxin, spoilage;mycotoxin > aflatoxin, spoilage;australia;31-10-2013
border rejection;spoilage;spoilage;australia;31-10-2013
border rejection;spoilage, mycotoxin;spoilage, mycotoxin;australia;31-10-2013
border rejection;spoilage, mycotoxin;spoilage, mycotoxin;australia;31-10-2013
border rejection;spoilage;spoilage;australia;31-10-2013
border rejection;spoilage, mycotoxin;spoilage, mycotoxin;australia;31-10-2013
border rejection;spoilage;spoilage;australia;31-10-2013
border rejection;spoilage, mycotoxin;spoilage, mycotoxin;australia;31-10-2013
border rejection;spoilage, mycotoxin;spoilage, mycotoxin;australia;31-10-2013
food;aflatoxin;mycotoxin > aflatoxin;australia;29-10-2013
food;peanuts and products thereof;peanuts and products thereof;netherlands;28-10-2013
food;expired health certificate(s);smuggling > health certificate issues > expired health certificate(s);united states;23-9-2013
food;aflatoxin;mycotoxin > aflatoxin;united states;6-9-2013
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-9-2013
poor quality food;labelling/misdescription;labelling/misdescription;poland;30-8-2013
food;ochratoxin a;mycotoxin > ochratoxin > ochratoxin a;spain;16-7-2013
alert;ochratoxin a;mycotoxin > ochratoxin > ochratoxin a;spain;16-7-2013
unsafe food;pest;pest;czech republic;12-7-2013
food;aflatoxin;mycotoxin > aflatoxin;united states;4-7-2013
food;absence of health certificate(s);smuggling > health certificate issues > absence of health certificate(s);united arab emirates, united states;6-6-2013
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-6-2013
alert;milk and products thereof;milk and products thereof;canada;31-5-2013
food;aflatoxin;mycotoxin > aflatoxin;morocco;17-4-2013
food;aflatoxin;mycotoxin > aflatoxin;united states;2-4-2013
food;aflatoxin;mycotoxin > aflatoxin;united states;15-3-2013
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-3-2013
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-3-2013
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-3-2013
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-2-2013
border rejection;spoilage;spoilage;australia;18-1-2013
food;aflatoxin;mycotoxin > aflatoxin;united states;15-1-2013
food;aflatoxin;mycotoxin > aflatoxin;united states;17-12-2012
alert;salmonella;pathogen > pathogenic bacteria > salmonella;australia;11-10-2012
food;aflatoxin;mycotoxin > aflatoxin;united states;9-10-2012
alert;salmonella;pathogen > pathogenic bacteria > salmonella;australia;4-10-2012
- food;salmonella;pathogen > pathogenic bacteria > salmonella;united states;25-9-2012
alert;salmonella;pathogen > pathogenic bacteria > salmonella;united states;24-9-2012
alert;salmonella;pathogen > pathogenic bacteria > salmonella;united states;24-9-2012
alert;salmonella;pathogen > pathogenic bacteria > salmonella;united states;24-9-2012
food;absence of certified analytical report;other not classified fraud hazards > absence of certified analytical report;united states;6-8-2012
food;expired health certificate(s);smuggling > health certificate issues > expired health certificate(s);united states;3-8-2012
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-8-2012
alert;salmonella;pathogen > pathogenic bacteria > salmonella;australia;20-7-2012
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-7-2012
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-7-2012
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-6-2012
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-5-2012
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-5-2012
food;missing identification code on individual packaging;labelling/misdescription > missing identification code on individual packaging;united states;18-4-2012
food;aflatoxin;mycotoxin > aflatoxin;united states;21-2-2012
food;aflatoxin;mycotoxin > aflatoxin;turkey, united states;18-1-2012
food;aflatoxin;mycotoxin > aflatoxin;united states;13-1-2012
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;china;21-12-2011
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;china;21-12-2011
food;infested with insects;insects > infested with insects;australia;29-11-2011
food;infested with insects, insects larvae;insects > infested with insects, insects > insects larvae;united states;15-11-2011
food;aflatoxin;mycotoxin > aflatoxin;united states;3-11-2011
border rejection;2,4-dinitrophenol (dnp);industrial contaminants > 2,4-dinitrophenol (dnp);united states;1-11-2011
food;infested with insects;insects > infested with insects;united states;26-10-2011
food;absence of common entry document (ced), absence of health certificate(s);smuggling > absence of common entry document (ced), smuggling > health certificate issues > absence of health certificate(s);india, iran, ukraine, united states;27-7-2011
food;aflatoxin;mycotoxin > aflatoxin;united states;25-7-2011
food;aflatoxin;mycotoxin > aflatoxin;united states;26-5-2011
alert;salmonella;pathogen > pathogenic bacteria > salmonella;australia;27-4-2011
alert;salmonella, microbiological contamination, almond;pathogen > pathogenic bacteria > salmonella, non-pathogenic microorganisms > microbiological contamination, nuts > almond;australia;21-4-2011
food;aflatoxin;mycotoxin > aflatoxin;united states;19-4-2011
food;aflatoxin;mycotoxin > aflatoxin;united states;16-3-2011
food;aflatoxin;mycotoxin > aflatoxin;united states;21-12-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;23-11-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;12-11-2010
food;altered organoleptic characteristics;altered organoleptic characteristics;united states;8-11-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;22-10-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;5-10-2010
food;infested with insects;insects > infested with insects;united states;22-9-2010
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-9-2010
food;high content of cyanide;composition > high content of cyanide;morocco;31-8-2010
food;aflatoxin;mycotoxin > aflatoxin;spain;20-8-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;9-8-2010
food;insects larvae;insects > insects larvae;united states;28-7-2010
food;insects larvae;insects > insects larvae;united states;27-7-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;12-7-2010
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-7-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;18-6-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;11-6-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;19-5-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;13-5-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;7-5-2010
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-5-2010
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-5-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;13-4-2010
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-4-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;30-3-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;16-3-2010
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-3-2010
food;improper health certificate(s);smuggling > health certificate issues > improper health certificate(s);united states;9-2-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;8-2-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;4-2-2010
food;aflatoxin;mycotoxin > aflatoxin;egypt;3-2-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;3-2-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;27-1-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;21-1-2010
food;aflatoxin;mycotoxin > aflatoxin;united states;14-1-2010
food;aflatoxin;mycotoxin > aflatoxin;australia;12-1-2010
food;aflatoxin;mycotoxin > aflatoxin;australia;29-12-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;28-12-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;16-12-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;11-12-2009
food;aflatoxin;mycotoxin > aflatoxin;australia;2-12-2009
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-12-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;30-11-2009
food;infested with insects;insects > infested with insects;united states;27-11-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;25-11-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;17-11-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;17-11-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;17-11-2009
food;aflatoxin;mycotoxin > aflatoxin;germany;13-11-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;11-11-2009
food;aflatoxin;mycotoxin > aflatoxin;australia;9-11-2009
food;insects larvae;insects > insects larvae;united states;30-10-2009
food;aflatoxin;mycotoxin > aflatoxin;australia;23-10-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;14-10-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;14-10-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;14-10-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;8-10-2009
food;insects larvae;insects > insects larvae;united states;2-10-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;21-9-2009
food;infested with insects;insects > infested with insects;united arab emirates, united states;10-9-2009
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-9-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;31-8-2009
food;insects larvae, infested with insects;insects > insects larvae, insects > infested with insects;united states;27-8-2009
food;infested with insects;insects > infested with insects;united states;26-8-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;25-8-2009
food;unauthorised genetically modified;gmo > unauthorised genetically modified;united states;12-8-2009
food;infested with insects;insects > infested with insects;united states;10-8-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;27-7-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;24-7-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;3-7-2009
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-7-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;26-6-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;23-6-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;18-6-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;12-6-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;3-6-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;2-6-2009
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-6-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;20-5-2009
food;aflatoxin;mycotoxin > aflatoxin;south africa;15-5-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;13-5-2009
food;unauthorised food additive propylene oxide (ppo), unauthorised ingredient (fraud);unauthorised food additive propylene oxide (ppo), unauthorised ingredient (fraud);united states;7-5-2009
food;unauthorised food additive propylene oxide (ppo), unauthorised ingredient (fraud);unauthorised food additive propylene oxide (ppo), unauthorised ingredient (fraud);united states;5-5-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;27-4-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;15-4-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;14-4-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;14-4-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;8-4-2009
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-4-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;24-3-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;17-3-2009
food;aflatoxin;mycotoxin > aflatoxin;iran;6-3-2009
food;aflatoxin;mycotoxin > aflatoxin;iran;5-3-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;13-2-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;11-2-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;10-2-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;30-1-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;22-1-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;20-1-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;16-1-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;14-1-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;5-1-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;2-1-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;17-12-2008
food;aflatoxin;mycotoxin > aflatoxin;iran;16-12-2008
food;moulds, infested with insects;non-pathogenic microorganisms > moulds, insects > infested with insects;united states;1-12-2008
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-12-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;24-11-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;18-11-2008
food;infested with insects;insects > infested with insects;united states;31-10-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;28-10-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;22-10-2008
food;aflatoxin;mycotoxin > aflatoxin;iran;20-10-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;2-10-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;30-9-2008
food;aflatoxin;mycotoxin > aflatoxin;india;30-9-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;11-9-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;8-9-2008
food;insects larvae;insects > insects larvae;united states;4-9-2008
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-9-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;12-8-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;1-8-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;1-8-2008
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-7-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;30-6-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;19-6-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;18-6-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;4-6-2008
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-6-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;30-5-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;5-5-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;23-4-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;21-4-2008
food;dead insects;insects > dead insects;united states;10-4-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;17-3-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;14-3-2008
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-3-2008
food;aflatoxin;mycotoxin > aflatoxin;spain;21-2-2008
food;aflatoxin;mycotoxin > aflatoxin;australia;19-2-2008
food;aflatoxin;mycotoxin > aflatoxin;australia;19-2-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;11-2-2008
food;aflatoxin;mycotoxin > aflatoxin;spain, united states;11-2-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;8-2-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;7-2-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;5-2-2008
food;aflatoxin;mycotoxin > aflatoxin;australia;25-1-2008
food;aflatoxin;mycotoxin > aflatoxin;australia;23-1-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;18-1-2008
food;aflatoxin;mycotoxin > aflatoxin;australia;17-1-2008
food;aflatoxin;mycotoxin > aflatoxin;australia;16-1-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;4-1-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;4-1-2008
food;aflatoxin;mycotoxin > aflatoxin;australia;3-1-2008
food;aflatoxin;mycotoxin > aflatoxin;australia;3-1-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;3-1-2008
food;infested with insects, unsuitable organoleptic characteristics;insects > infested with insects, unsuitable organoleptic characteristics;united states;3-1-2008
border rejection;aflatoxin;mycotoxin > aflatoxin;spain;1-1-2008
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-12-2007
food;aflatoxin;mycotoxin > aflatoxin;spain;22-11-2007
food;aflatoxin;mycotoxin > aflatoxin;united states;8-11-2007
food;infested with insects;insects > infested with insects;netherlands, united states;21-9-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;australia;1-9-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-7-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-6-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-5-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-5-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-5-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-3-2007
food;aflatoxin;mycotoxin > aflatoxin;germany, united states;1-2-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-1-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-11-2006
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-11-2006
border rejection;aflatoxin;mycotoxin > aflatoxin;china;1-6-2006
food;aflatoxin;mycotoxin > aflatoxin;spain;6-4-2006
food;aflatoxin;mycotoxin > aflatoxin;spain, united states;3-4-2006
food;aflatoxin;mycotoxin > aflatoxin;united states;9-2-2006
food;aflatoxin;mycotoxin > aflatoxin;greece;17-1-2006
food;altered organoleptic characteristics;altered organoleptic characteristics;greece, unknown origin;30-12-2005
food;altered organoleptic characteristics, excrements of insects;altered organoleptic characteristics, contaminated with faeces > excrements of insects;united states;31-1-2005
food;altered organoleptic characteristics, infested with insects;altered organoleptic characteristics, insects > infested with insects;united states;12-1-2005
food;aflatoxin;mycotoxin > aflatoxin;united states;28-10-2002
food;raticide;raticide;united states;8-12-1999
food;aflatoxin;mycotoxin > aflatoxin;united states;19-3-1999